Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
16,K005,P.S. 5 - BROOKLYN,Fast Track Projects,FY19 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,01/16/2019,FTK,,FTK,86951,0.00,DSF: 0000890740
16,K005,P.S. 5 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,317847,299847,299847.00,DSF: 0000866718
16,K005,P.S. 5 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,264000,264000,0.00,DSF: 0000866718
16,K005,P.S. 5 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,18000,18000,0.00,DSF: 0000866718
16,K005,P.S. 5 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000866718
16,K005,P.S. 5 - BROOKLYN,SCA Furniture & Equi,FY19 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,62000,62000,0.00,DSF: 0000889675
17,K006,P.S. 6 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,125000,125000,0.00,DSF: 0000890020
17,K006,P.S. 6 - BROOKLYN,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,08/31/2018,DOES,,DOES,73833,73833.00,DSF: 0000865885
17,K006,P.S. 6 - BROOKLYN,SCA Furniture & Equi,FY19 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,124000,124000,0.00,DSF: 0000889676
19,K007,P.S. 7 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,148875,148875,0.00,DSF: 0000823387
19,K007,P.S. 7 - BROOKLYN,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,Complete,08/01/2016,DOES,07/12/2018,DOES,78687,78687.00,DSF: 0000844727
19,K007,P.S. 7 - BROOKLYN,Fast Track Projects,LSP- VACUUM CONDENSATE PUMPS,Construction,In-Progress,11/05/2018,FTK,,FTK,156991,0.00,DSF: 0000888935
19,K007,P.S. 7 - BROOKLYN,SCA CIP,ENY AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,56824,56824,2663.00,DSF: 0000823812
19,K007,P.S. 7 - BROOKLYN,SCA CIP,ENY AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,245186,245186,0.00,DSF: 0000823812
19,K007,P.S. 7 - BROOKLYN,SCA CIP,ENY AUDITORIUM UPGRADE,Design,Complete,03/27/2017,08/24/2017,06/14/2017,23151,21916,21397.00,DSF: 0000823812
19,K007,P.S. 7 - BROOKLYN,SCA CIP,ENY AUDITORIUM UPGRADE,Scope,Complete,02/15/2017,04/14/2017,03/27/2017,6314,9348,9348.00,DSF: 0000823812
19,K007,P.S. 7 - BROOKLYN,SCA CIP RESOA,FY18 RESO A IP SECURITY CAMERAS,"CM, F&E",PNS,PNS,PNS,PNS,369611,345611,341808.00,DSF: 0000866412
19,K007,P.S. 7 - BROOKLYN,SCA CIP RESOA,FY18 RESO A IP SECURITY CAMERAS,Construction,PNS,PNS,PNS,PNS,352000,352000,0.00,DSF: 0000866412
19,K007,P.S. 7 - BROOKLYN,SCA CIP RESOA,FY18 RESO A IP SECURITY CAMERAS,Design,PNS,PNS,PNS,PNS,24000,24000,0.00,DSF: 0000866412
19,K007,P.S. 7 - BROOKLYN,SCA CIP RESOA,FY18 RESO A IP SECURITY CAMERAS,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000866412
13,K008,P.S. 8 - BROOKLYN,DOE- RESOA,FY18 RESO A LOCKERS,Construction,In-Progress,06/30/2018,DOER,,120564,120564,120564.00,DSF: 0000867362
13,K009,PUBLIC SCHOOL 9 THE SARAH SMIT,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,75000,75000,0.00,DSF: 0000889677
13,K009,P.S. 9 - BROOKLYN,Fast Track Projects,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,FTK,FTK,FTK,FTK,40255,0.00,DSF: 0000867254
13,K011,P.S. 11 - BROOKLYN,SCA CIP,FLOOD ELIMINATION/ROOFS/PARAPETS/EXT MASONRY,"CM, F&E",PNS,PNS,PNS,PNS,490995,490995,7446.00,"DSF: 0000868551, 0000868553, 0000868554, 0000868555"
13,K011,P.S. 11 - BROOKLYN,SCA CIP,FLOOD ELIMINATION/ROOFS/PARAPETS/EXT MASONRY,Construction,PNS,PNS,PNS,PNS,7727670,7727670,618.00,"DSF: 0000868551, 0000868553, 0000868554, 0000868555"
13,K011,P.S. 11 - BROOKLYN,SCA CIP,FLOOD ELIMINATION/ROOFS/PARAPETS/EXT MASONRY,Design,In-Progress,01/30/2019,07/01/2019,,414605,414605,10985.00,"DSF: 0000868551, 0000868553, 0000868554, 0000868555"
13,K011,P.S. 11 - BROOKLYN,SCA CIP,FLOOD ELIMINATION/ROOFS/PARAPETS/EXT MASONRY,Scope,Complete,10/02/2018,02/21/2019,01/24/2019,103780,100091,95321.00,"DSF: 0000868551, 0000868553, 0000868554, 0000868555"
13,K011,P.S. 11 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,11367,36703,1618.00,DSF: 0000822741
13,K011,P.S. 11 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,166716,538316,5693.00,DSF: 0000822741
13,K011,P.S. 11 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Design,PNS,PNS,PNS,PNS,11367,17708,17708.00,DSF: 0000822741
13,K011,P.S. 11 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Scope,Complete,06/12/2017,08/11/2017,07/18/2017,0,15692,15692.00,DSF: 0000822741
23,K012,P.S. 12 - BROOKLYN,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,Complete,06/15/2018,DIIR,10/01/2018,148874,148874,148874.00,DSF: 0000867559
23,K012,P.S. 12 - BROOKLYN,DOE- RESOA,FY19 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,175000,0,0.00,DSF: 0000890646
23,K012,P.S. 12 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,159000,150000,150000.00,DSF: 0000867419
23,K012,I.S. 484 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,"CM, F&E",In-Progress,12/26/2018,09/21/2019,,53503,52893,19176.00,DSF: 0000867378
23,K012,I.S. 484 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Construction,In-Progress,12/26/2018,09/21/2019,,784713,607400,500.00,DSF: 0000867378
23,K012,P.S. 12 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,132000,132000,0.00,DSF: 0000867419
23,K012,P.S. 12 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,9000,9000,0.00,DSF: 0000867419
23,K012,I.S. 484 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Design,Complete,05/21/2018,10/22/2018,10/01/2018,53503,59657,50215.00,DSF: 0000867378
23,K012,I.S. 484 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Scope,Complete,01/24/2018,05/09/2018,02/20/2018,0,14867,14867.00,DSF: 0000867378
23,K012,P.S. 12 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000867419
19,K013,P.S. 13 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,119100,119100,0.00,DSF: 0000823015
19,K013,P.S. 13 - BROOKLYN,Fast Track Projects,FY19 RESO A CAFETERIA / MULTIPURPOSE ROOM UPGRADE,Construction,In-Progress,01/23/2019,FTK,,FTK,17435,0.00,DSF: 0000890741
19,K013,P.S. 13 - BROOKLYN,SCA CIP,PUBLIC ADDRESS SYSTEM/PROGRAM CLOCK SYSTEM REPLACE,"CM, F&E",Complete,03/12/2018,01/05/2019,12/21/2018,221400,238357,238357.00,DSF: 0000845902
19,K013,P.S. 13 - BROOKLYN,SCA CIP,PUBLIC ADDRESS SYSTEM/PROGRAM CLOCK SYSTEM REPLACE,Construction,Complete,03/12/2018,01/05/2019,12/21/2018,955300,858676,810198.00,DSF: 0000845902
19,K013,P.S. 13 - BROOKLYN,SCA CIP,PUBLIC ADDRESS SYSTEM/PROGRAM CLOCK SYSTEM REPLACE,Design,Complete,09/06/2017,02/09/2018,11/01/2017,90200,24646,24646.00,DSF: 0000845902
19,K013,P.S. 13 - BROOKLYN,SCA CIP,PUBLIC ADDRESS SYSTEM/PROGRAM CLOCK SYSTEM REPLACE,Scope,Complete,06/08/2017,09/07/2017,07/27/2017,24600,6178,6178.00,DSF: 0000845902
19,K013,P.S. 13 - BROOKLYN,SCA Furniture & Equi,FY19 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,225000,225000,0.00,DSF: 0000889678
22,K014,I.S. 14 - BROOKLYN,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEM,Purch & Install,Complete,07/01/2018,DIIP,10/30/2018,DIIP,291563,291563.00,DSF: 0000889217
22,K014,K811 SPED - BROOKLYN,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,225000,225000,0.00,DSF: 0000800518
22,K014,I.S. 14 - BROOKLYN,DOE- RESOA,FY13 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,63000,0,0.00,DSF: 0000754664
22,K014,I.S. 14 - BROOKLYN,SCA CIP,WATER PENETRATION/PLANYC BOILER/PLANYC CLIMATE,"CM, F&E",In-Progress,02/21/2017,08/14/2018,,660150,1292298,1282439.00,"DSF: 0000778032, 0000798243, 0000801384"
22,K014,I.S. 14 - BROOKLYN,SCA CIP,WATER PENETRATION/PLANYC BOILER/PLANYC CLIMATE,Construction,In-Progress,02/21/2017,08/14/2018,,9263340,9019921,7825886.00,"DSF: 0000778032, 0000798243, 0000801384"
22,K014,I.S. 14 - BROOKLYN,SCA CIP,WATER PENETRATION/PLANYC BOILER/PLANYC CLIMATE,Design,Complete,03/11/2016,08/10/2016,06/30/2016,514345,490827,471930.00,"DSF: 0000778032, 0000798243, 0000801384"
22,K014,I.S. 14 - BROOKLYN,SCA CIP,WATER PENETRATION/PLANYC BOILER/PLANYC CLIMATE,Scope,Complete,12/16/2015,05/18/2016,03/03/2016,129646,159022,143699.00,"DSF: 0000778032, 0000798243, 0000801384"
22,K014,I.S. 14 - BROOKLYN,SCA CIP RESOA,FY15 RESO A ROOM CONVERSIONS / PARTITIONING,"CM, F&E",PNS,PNS,PNS,PNS,12660,28489,260.00,DSF: 0000800464
22,K014,I.S. 14 - BROOKLYN,SCA CIP RESOA,FY15 RESO A ROOM CONVERSIONS / PARTITIONING,Construction,PNS,PNS,PNS,PNS,185680,417843,3114.00,DSF: 0000800464
22,K014,I.S. 14 - BROOKLYN,SCA CIP RESOA,FY15 RESO A ROOM CONVERSIONS / PARTITIONING,Design,PNS,PNS,PNS,PNS,12660,5068,106.00,DSF: 0000800464
22,K014,I.S. 14 - BROOKLYN,SCA CIP RESOA,FY15 RESO A ROOM CONVERSIONS / PARTITIONING,Scope,Complete,01/26/2015,05/26/2015,05/13/2015,0,7592,7592.00,DSF: 0000800464
22,K014,I.S. 14 - BROOKLYN,SCA IEH,"IEH PO18-RMS 100A,B,C,D,101,104A,111,127,134",Construction,In-Progress,11/13/2018,IEH,,IEH,104597,0.00,DSF: 0000054887
22,K014,I.S. 14 - BROOKLYN,SCA IEH,IEH PO18-TEACHERS CAFE RM B16,Construction,Complete,11/20/2018,IEH,01/21/2019,IEH,107245,0.00,DSF: 0000055045
15,K015,P.S. 15 - BROOKLYN,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,In-Progress,05/05/2015,DIIR,,74240,0,0.00,DSF: 0000800519
15,K015,P.S. 15 - BROOKLYN,DOE- RESOA,FY18 RESO A TOILETS-STUDENTS,Construction,In-Progress,07/16/2018,DOER,,220000,211873,211873.00,DSF: 0000867386
15,K015,P.S. 15 - BROOKLYN,DOE- RESOA,FY19 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,175000,161278,161278.00,DSF: 0000890647
15,K015,P.S. 15 - BROOKLYN,SCA CIP,ROOFS/WINDOWS/ EXTERIOR MASONRY,"CM, F&E",PNS,PNS,PNS,PNS,520243,520243,327.00,"DSF: 0000868633, 0000868634, 0000868635"
15,K015,P.S. 15 - BROOKLYN,SCA CIP,ROOFS/WINDOWS/ EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,8361047,8361047,0.00,"DSF: 0000868633, 0000868634, 0000868635"
15,K015,P.S. 15 - BROOKLYN,SCA CIP,ROOFS/WINDOWS/ EXTERIOR MASONRY,Design,PNS,PNS,PNS,PNS,445922,445922,2861.00,"DSF: 0000868633, 0000868634, 0000868635"
15,K015,P.S. 15 - BROOKLYN,SCA CIP,ROOFS/WINDOWS/ EXTERIOR MASONRY,Scope,In-Progress,11/07/2018,03/28/2019,,111481,111481,715.00,"DSF: 0000868633, 0000868634, 0000868635"
14,K016,P.S. 16 - BROOKLYN,DOE- RESOA,FY13 RESO A BATHROOM UPGRADE,Construction,In-Progress,10/17/2018,DOER,,150000,174883,174883.00,DSF: 0000888887
14,K016,P.S. 16 - BROOKLYN,SCA CIP,FLOOD ELIMINATION/ROOFS/EXT MASONRY/PARAPETS,"CM, F&E",In-Progress,07/23/2018,10/15/2019,,466368,143607,140407.00,"DSF: 0000868645, 0000868647, 0000868648, 0000868649"
14,K016,P.S. 16 - BROOKLYN,SCA CIP,FLOOD ELIMINATION/ROOFS/EXT MASONRY/PARAPETS,Construction,In-Progress,07/23/2018,10/15/2019,,4837244,4374145,852280.00,"DSF: 0000868645, 0000868647, 0000868648, 0000868649"
14,K016,P.S. 16 - BROOKLYN,SCA CIP,FLOOD ELIMINATION/ROOFS/EXT MASONRY/PARAPETS,Design,Complete,01/31/2018,07/02/2018,05/18/2018,298067,248046,210363.00,"DSF: 0000868645, 0000868647, 0000868648, 0000868649"
14,K016,P.S. 16 - BROOKLYN,SCA CIP,FLOOD ELIMINATION/ROOFS/EXT MASONRY/PARAPETS,Scope,Complete,12/18/2017,05/04/2018,01/25/2018,76610,60542,60542.00,"DSF: 0000868645, 0000868647, 0000868648, 0000868649"
14,K017,I.S. 577 - BROOKLYN,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,Complete,06/25/2018,DIIR,10/05/2018,49622,49622,49622.00,DSF: 0000867768
14,K017,I.S. 577 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,In-Progress,03/04/2019,DIIR,,35000,35000,34702.00,DSF: 0000889802
14,K017,P.S. 17 - BROOKLYN,SCA CIP,BUILDING FAN REPLACEMENT/ELEC UPGRADE,"CM, F&E",In-Progress,05/21/2018,11/11/2019,,532483,105710,105218.00,"DSF: 0000755637, 0000778097"
14,K017,I.S. 577 - BROOKLYN,SCA CIP,CERTIFICATE OF OCCUPANCY,"CM, F&E",PNS,PNS,PNS,PNS,806890,806890,12140.00,DSF: 0000865947
14,K017,P.S. 17 - BROOKLYN,SCA CIP,BUILDING FAN REPLACEMENT/ELEC UPGRADE,Construction,In-Progress,05/21/2018,11/11/2019,,6433642,5828970,614745.00,"DSF: 0000755637, 0000778097"
14,K017,I.S. 577 - BROOKLYN,SCA CIP,CERTIFICATE OF OCCUPANCY,Construction,PNS,PNS,PNS,PNS,12967868,12967868,42106.00,DSF: 0000865947
14,K017,P.S. 17 - BROOKLYN,SCA CIP,BUILDING FAN REPLACEMENT/ELEC UPGRADE,Design,Complete,01/29/2014,06/30/2014,12/17/2014,375158,450191,412885.00,"DSF: 0000755637, 0000778097"
14,K017,I.S. 577 - BROOKLYN,SCA CIP,CERTIFICATE OF OCCUPANCY,Design,In-Progress,04/25/2018,10/25/2018,,691620,691620,180625.00,DSF: 0000865947
14,K017,I.S. 577 - BROOKLYN,SCA CIP,CERTIFICATE OF OCCUPANCY,Scope,Complete,04/06/2017,11/02/2017,12/19/2017,172905,128317,128317.00,DSF: 0000865947
14,K017,P.S. 17 - BROOKLYN,SCA CIP,BUILDING FAN REPLACEMENT/ELEC UPGRADE,Scope,Complete,06/24/2013,10/25/2013,11/12/2013,95463,56709,56709.00,"DSF: 0000755637, 0000778097"
14,K017,P.S. 17 - BROOKLYN,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,15000,41520,0.00,DSF: 0000890742
14,K017,P.S. 17 - BROOKLYN,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,220000,608959,0.00,DSF: 0000890742
14,K017,P.S. 17 - BROOKLYN,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,15000,15000,0.00,DSF: 0000890742
14,K017,P.S. 17 - BROOKLYN,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Scope,Complete,11/27/2018,04/01/2019,03/13/2019,0,0,0.00,DSF: 0000890742
14,K019,P.S. 414 - BROOKLYN,DIIT - RESOA,FY 07 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,65000,65000,0.00,DSF: 0000822695
13,K020,P.S. 20 - BROOKLYN,DOE- RESOA,FY18 RESO A BATHROOM UPGRADE,Construction,In-Progress,12/21/2018,DOER,,100000,76913,76913.00,DSF: 0000867286
13,K020,I.S. 492- BROOKLYN,DOE- RESOA,FY11 RESO A- PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,118179,0,0.00,DSF: 0000710133
13,K020,P.S. 20 - BROOKLYN,Fast Track Projects,LSP GYM FLOOR REPLACEMENT,Construction,Complete,08/07/2018,FTK,10/25/2018,FTK,260973,232245.00,DSF: 0000868140
13,K020,P.S. 20 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM, F&E",In-Progress,11/14/2018,05/12/2019,,51030,26036,23542.00,DSF: 0000889054
13,K020,P.S. 20 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,11/14/2018,05/12/2019,,220185,214565,0.00,DSF: 0000889054
13,K020,P.S. 20 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,06/21/2018,11/23/2018,09/05/2018,20790,28348,28348.00,DSF: 0000889054
